rank,Name,Worth_in_Billion,Country
1,Elon Musk,222.0,United States
2,Jeff Bezos,171.0,United States
3,Bernard Arnault,168.0,France
4,Bill Gates,135.0,United States
5,Larry Ellison,131.0,United States
6,Steve Ballmer,129.0,United States
7,Warren Buffett,120.0,United States
8,Larry Page,119.0,United States
9,Mark Zuckerberg,118.0,United States
10,Sergey Brin,114.0,United States
11,Carlos Slim,96.7,Mexico
12,Francoise Bettencourt Meyers,94.9,France
13,Mukesh Ambani,89.5,India
14,Amancio Ortega,83.7,Spain
15,Jim Walton,70.4,United States
16,Rob Walton,69.2,United States
17,Alice Walton,68.1,United States
18,Michael Dell,66.3,United States
19,Julia Flesher Koch &family,66.0,United States
20,Gautam Adani,65.8,India
21,Zhong Shanshan,63.1,China
22,Charles Koch,62.0,United States
23,Colin Huang,51.2,China
24,Jacqueline Badger Mars,46.8,United States
25,John Mars,46.8,United States
26,Alain  Wertheimer,44.8,France
27,Gerard Wertheimer,44.8,France
28,Phil Knight & family,43.6,United States
29,Zhang Yiming,42.3,China
30,Jensen Huang,41.6,United States
31,Len Blavatnik,39.9,United States
32,Klaus-Michael Kuehne,38.8,Germany
33,Tadashi Yanai,38.7,Japan
34,Stephen Schwarzman,37.9,United States
35,Ma Huateng,36.7,China
36,Ken Griffin,36.1,United States
37,Francois Pinault,34.9,France
38,Abigail Johnson,34.4,United States
39,MacKenzie Scott,34.3,United States
40,William Ding,33.8,China
41,Giovanni Ferrero & family,33.1,Italy
42,Miriam Adelson,32.7,United States
43,Shapoor Mistry,32.7,India
44,Dieter Schwarz,31.8,Germany
45,Shiv Nadar,31.1,India
46,German Larrea,31.0,Mexico
47,Vladimir Potanin,30.5,Russian Federation
48,Jack Ma,29.0,China
49,James Simons,28.7,United States
50,Jeff Yass,28.6,United States
51,Li Ka-shing,27.6,Hong Kong
52,Low Tuck Kwong,27.3,Indonesia
53,Leonid Mikhelson,27.2,Russian Federation
54,Changpeng Zhao,27.1,Canada
55,Susanne Klatten,27.0,Germany
56,Eric Schmidt,26.2,United States
57,Andrew Forrest,26.2,Australia
58,Iris Fontbona & family,25.6,Chile
59,Lukas Walton,24.8,United States
60,Gina Rinehart,24.7,Australia
61,Zeng Yuqun,24.5,HongKong
62,Prajogo  Pangestu,24.4,Indonesia
63,Elaine Marshall,24.4,United States
64,Vagit Alekperov,24.2,Russian Federation
65,Thomas Peterffy,24.2,United States
66,Reinhold Wuerth,24.1,Germany
67,Takemitsu Takizaki,23.9,Japan
68,Savitri Jindal,23.9,India
69,Azim Premji,23.4,India
70,Ernesto Bertarelli & family,23.4,Switzerland
71,Stefan Quandt,23.1,Germany
72,Thomas Frist,23.0,United States
73,Jorge Paulo Lemann,22.9,Brazil
74,Vladimir Lisin,22.9,Russian Federation
75,He Xiangjian,22.5,China
76,Eyal Ofer,22.2,Monaco
77,Dan Gilbert,22.1,United States
78,Budi Hartono,21.7,Indonesia
79,Xu Yangtian,21.5,China
80,Henry Cheng,20.8,Hong Kong
81,Michael Hartono,20.6,Indonesia
82,Alisher Usmanov,20.4,Russian Federation
83,Dilip Shanghvi,20.3,India
84,Mark Mateschitz,20.3,Austria
85,Gianluigi Aponte,20.2,Switzerland
86,Idan Ofer,20.0,Israel
87,Lee Shau Kee,19.7,Hong Kong
88,Rodolphe Saade & family,19.2,France
89,Liu Yongxing,19.1,China
90,Alexy Mordashov,19.1,Russian Federation
91,Dustin Moskovitz,19.0,United States
92,Stefan  Personn,19.0,Sweden
93,Vicky Safra,19.0,Greece
94,John Menard,18.9,United States
95,Radhakishan Damani,18.8,India
96,Lakshmi Mittal,18.7,India
97,Leonard Lauder,18.3,United States
98,James Dyson,18.3,United Kingdom
99,Hasso  Plattner,18.3,Germany
100,Eduardo Saverin,17.8,Brazil
